ID,Points
1,93.2829585473
2,84.0878009503
3,88.7165906632
4,86.8038238622
5,86.1387588374
6,86.8185194459
7,86.6510067094
8,86.5917136531
9,87.155180813
10,86.5863694244
11,86.8365609736
12,87.4727310562
13,87.4478639909
14,95.6339190386
15,86.2528652433
16,88.1421260059
17,87.5365948466
18,86.2528652433
19,92.0047738486
20,90.5245716617
21,85.5102521834
22,86.7437233514
23,87.0147209956
24,86.6134509708
25,91.2819853207
26,90.6149333411
27,86.7518841402
28,85.5878883886
29,86.2528652433
30,86.2528652433
31,94.4543419357
32,88.2900587484
33,87.5530210502
34,86.5989906498
35,88.2810135388
36,88.458021432
37,86.9999792953
38,86.2528652433
39,88.5534124027
40,86.2528652433
41,86.2528652433
42,86.957443715
43,89.0812303225
44,88.0533939793
45,85.5582101351
46,88.20033153
47,88.0540619397
48,86.8539632515
49,86.7544352925
50,87.2029021547
51,88.4471443715
52,92.5047831303
53,86.7801416966
54,89.6113617595
55,85.6137116289
56,86.4754856831
57,86.2394585831
58,86.856520726
59,87.7144316163
60,88.3693182728
61,87.3655899381
62,86.5164021135
63,90.4647981239
64,87.2469771404
65,86.2528652433
66,94.0540386001
67,86.8609861736
68,88.0413107393
69,86.7564595309
70,85.796398491
71,88.5621536449
72,89.8959348256
73,87.862905255
74,87.3331204883
75,89.8643561713
76,86.2295658601
77,87.8097446621
78,88.5339100667
79,87.4945676818
80,87.3713594722
81,88.7110221622
82,86.793375848
83,86.436124081
84,88.5370753367
85,86.2528652433
86,87.009880743
87,87.813466944
88,85.1557172886
89,86.8128788079
90,86.9430071101
91,86.7803252826
92,91.926736626
93,90.5797558838
94,86.2528652433
95,86.1630716307
96,85.4650823844
97,87.2752070514
98,90.3256455944
99,88.2677749727
100,87.4072748419
101,88.060944416
102,90.0660151666
103,88.275659212
104,86.3859071934
105,86.0159758425
106,86.2528652433
107,86.2528652433
108,86.8250295327
109,87.9239034894
110,86.2528652433
111,87.826844235
112,86.2528652433
113,88.5340160144
114,86.2528652433
115,88.5984025543
116,97.378912171
117,88.624089957
118,88.6345070852
